Front,Back,Tags
What is the core mechanism in From Prompt Engineering to Context Engineering?,The core mechanism is Why agents needed to move beyond one-shot prompting before larger tasks became reliable. That lesson anchors the idea with Prompt engineering.,"section:origins, lesson:prompt-to-context, density-layer:1, definition/purpose"
Which step comes right after the first move in From Prompt Engineering to Context Engineering?,"After the opening move, the next step is to observe where the one-shot response loses detail. so the workflow stays bounded and explicit.","section:origins, lesson:prompt-to-context, density-layer:1, sequence/order"
"In a real system, why would you use the approach from From Prompt Engineering to Context Engineering?",You would use it because why agents needed to move beyond one-shot prompting before larger tasks became reliable. The lesson ties that to Prompt engineering as the anchor concept.,"section:origins, lesson:prompt-to-context, density-layer:1, application/scenario"
What trade-off is highlighted in From Prompt Engineering to Context Engineering?,"The lesson shows that stronger control adds process overhead, but it prevents drift, hidden defects, and false completion signals over long runs.","section:origins, lesson:prompt-to-context, density-layer:1, comparison/trade-off"
"What is the core mechanism in Tool Calling, MCP, and RAG as Context Controls?",The core mechanism is How external capability routing made context engineering practical for real coding agents. That lesson anchors the idea with Tool calling.,"section:context-techniques, lesson:tools-mcp-rag, density-layer:2, definition/purpose"
"Which step comes right after the first move in Tool Calling, MCP, and RAG as Context Controls?","After the opening move, the next step is to route to the right external capability. so the workflow stays bounded and explicit.","section:context-techniques, lesson:tools-mcp-rag, density-layer:2, sequence/order"
"In a real system, why would you use the approach from Tool Calling, MCP, and RAG as Context Controls?",You would use it because how external capability routing made context engineering practical for real coding agents. The lesson ties that to Tool calling as the anchor concept.,"section:context-techniques, lesson:tools-mcp-rag, density-layer:2, application/scenario"
"What trade-off is highlighted in Tool Calling, MCP, and RAG as Context Controls?","The lesson shows that stronger control adds process overhead, but it prevents drift, hidden defects, and false completion signals over long runs.","section:context-techniques, lesson:tools-mcp-rag, density-layer:2, comparison/trade-off"
What is the core mechanism in The Summarization Trap in Long-Running Tasks?,The core mechanism is Why long autonomous runs can drift into false completion when summaries replace detailed state. That lesson anchors the idea with Context summarization.,"section:failure-mode, lesson:summarization-trap, density-layer:2, definition/purpose"
Which step comes right after the first move in The Summarization Trap in Long-Running Tasks?,"After the opening move, the next step is to compress previous state into a summary. so the workflow stays bounded and explicit.","section:failure-mode, lesson:summarization-trap, density-layer:2, sequence/order"
"In a real system, why would you use the approach from The Summarization Trap in Long-Running Tasks?",You would use it because why long autonomous runs can drift into false completion when summaries replace detailed state. The lesson ties that to Context summarization as the anchor concept.,"section:failure-mode, lesson:summarization-trap, density-layer:2, application/scenario"
What trade-off is highlighted in The Summarization Trap in Long-Running Tasks?,"The lesson shows that stronger control adds process overhead, but it prevents drift, hidden defects, and false completion signals over long runs.","section:failure-mode, lesson:summarization-trap, density-layer:2, comparison/trade-off"
What is the core mechanism in Harness Engineering as a Controlled Iteration Loop?,"The core mechanism is The core harness pattern: plan once, execute iteratively, reset context, and verify continuously. That lesson anchors the idea with Agent harness.","section:harness-loop, lesson:harness-loop, density-layer:2, definition/purpose"
Which step comes right after the first move in Harness Engineering as a Controlled Iteration Loop?,"After the opening move, the next step is to break work into atomic tasks. so the workflow stays bounded and explicit.","section:harness-loop, lesson:harness-loop, density-layer:2, sequence/order"
"In a real system, why would you use the approach from Harness Engineering as a Controlled Iteration Loop?","You would use it because the core harness pattern: plan once, execute iteratively, reset context, and verify continuously. The lesson ties that to Agent harness as the anchor concept.","section:harness-loop, lesson:harness-loop, density-layer:2, application/scenario"
What trade-off is highlighted in Harness Engineering as a Controlled Iteration Loop?,"The lesson shows that stronger control adds process overhead, but it prevents drift, hidden defects, and false completion signals over long runs.","section:harness-loop, lesson:harness-loop, density-layer:2, comparison/trade-off"
"What is the core mechanism in How Prompt, Context, and Harness Layers Fit Together?",The core mechanism is Harnessing does not replace prompting or context engineering; it composes them into a higher-level control stack. That lesson anchors the idea with Prompt layer.,"section:layer-model, lesson:layer-model, density-layer:1, definition/purpose"
"Which step comes right after the first move in How Prompt, Context, and Harness Layers Fit Together?","After the opening move, the next step is to load the minimal working context. so the workflow stays bounded and explicit.","section:layer-model, lesson:layer-model, density-layer:1, sequence/order"
"In a real system, why would you use the approach from How Prompt, Context, and Harness Layers Fit Together?",You would use it because harnessing does not replace prompting or context engineering; it composes them into a higher-level control stack. The lesson ties that to Prompt layer as the anchor concept.,"section:layer-model, lesson:layer-model, density-layer:1, application/scenario"
"What trade-off is highlighted in How Prompt, Context, and Harness Layers Fit Together?","The lesson shows that stronger control adds process overhead, but it prevents drift, hidden defects, and false completion signals over long runs.","section:layer-model, lesson:layer-model, density-layer:1, comparison/trade-off"
What is the core mechanism in From Cloud Agents to Autonomous Production Cycles?,"The core mechanism is How harnessing turns agent demos into production-oriented loops with triggers, cloud runs, and recurring maintenance. That lesson anchors the idea with Cloud agent.","section:production-use, lesson:production-cycle, density-layer:2, definition/purpose"
Which step comes right after the first move in From Cloud Agents to Autonomous Production Cycles?,"After the opening move, the next step is to run the bounded harness loop in the cloud. so the workflow stays bounded and explicit.","section:production-use, lesson:production-cycle, density-layer:2, sequence/order"
"In a real system, why would you use the approach from From Cloud Agents to Autonomous Production Cycles?","You would use it because how harnessing turns agent demos into production-oriented loops with triggers, cloud runs, and recurring maintenance. The lesson ties that to Cloud agent as the anchor concept.","section:production-use, lesson:production-cycle, density-layer:2, application/scenario"
What trade-off is highlighted in From Cloud Agents to Autonomous Production Cycles?,"The lesson shows that stronger control adds process overhead, but it prevents drift, hidden defects, and false completion signals over long runs.","section:production-use, lesson:production-cycle, density-layer:2, comparison/trade-off"
